Course,Branch,Year,Semester,Subject,Exam_Type,Date,Time,Venue,Max_Marks
ECE702,Electronics,4th Year,7th Semester,Satellite Communications,End Term,1/21/2024,14:00-17:00,Hall J,100
ME701,Mechanical,4th Year,7th Semester,Industrial Automation,Mid Term,1/17/2024,09:00-11:00,Hall K,50
CSE801,Computer Science,4th Year,8th Semester,Deep Learning,Mid Term,6/15/2024,09:00-11:00,Hall J,50
CSE802,Computer Science,4th Year,8th Semester,Blockchain Technology,End Term,6/20/2024,14:00-17:00,Hall K,100
ECE801,Electronics,4th Year,8th Semester,5G Technologies,Mid Term,6/16/2024,09:00-11:00,Hall L,50
ECE802,Electronics,4th Year,8th Semester,Quantum Computing,End Term,6/21/2024,14:00-17:00,Hall J,100
ME801,Mechanical,4th Year,8th Semester,Smart Manufacturing,Mid Term,6/17/2024,09:00-11:00,Hall K,50
CSE103,Computer Science,1st Year,1st Semester,Mathematics-I,End Term,1/22/2024,09:00-12:00,Hall A,100
ECE103,Electronics,1st Year,1st Semester,Physics,End Term,1/23/2024,09:00-12:00,Hall B,100
ME102,Mechanical,1st Year,1st Semester,Engineering Drawing,End Term,1/24/2024,09:00-12:00,Hall C,100
CSE203,Computer Science,1st Year,2nd Semester,Mathematics-II,End Term,6/22/2024,09:00-12:00,Hall A,100
ECE203,Electronics,1st Year,2nd Semester,Chemistry,End Term,6/23/2024,09:00-12:00,Hall B,100
ME202,Mechanical,1st Year,2nd Semester,Workshop Practice,End Term,6/24/2024,09:00-12:00,Hall C,100
CSE303,Computer Science,2nd Year,3rd Semester,Discrete Mathematics,End Term,1/22/2024,09:00-12:00,Hall D,100
ECE303,Electronics,2nd Year,3rd Semester,Electronic Measurements,End Term,1/23/2024,09:00-12:00,Hall E,100
ME302,Mechanical,2nd Year,3rd Semester,Material Science,End Term,1/24/2024,09:00-12:00,Hall F,100
CSE403,Computer Science,2nd Year,4th Semester,Theory of Computation,End Term,6/22/2024,09:00-12:00,Hall D,100
ECE403,Electronics,2nd Year,4th Semester,Antenna Theory,End Term,6/23/2024,09:00-12:00,Hall E,100
ME402,Mechanical,2nd Year,4th Semester,Manufacturing Processes,End Term,6/24/2024,09:00-12:00,Hall F,100
